genres,acousticness,danceability,energy,instrumentalness,loudness,speechiness,valence,popularity
Classical,5.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0
Classical,5.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0
Classical,5.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0
Classical,5.0,3.0,3.0,5.0,4.0,1.0,2.0,3.0
Classical,5.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0
Classical,5.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0
Classical,5.0,2.0,3.0,5.0,3.0,1.0,1.0,1.0
Classical,5.0,2.0,1.0,5.0,2.0,1.0,2.0,3.0
Classical,2.0,2.0,2.0,1.0,4.0,1.0,2.0,4.0
Classical,5.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0
Classical,5.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0
Classical,5.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0
Classical,5.0,2.0,1.0,4.0,3.0,1.0,2.0,2.0
Classical,5.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0
Classical,5.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0
Classical,5.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0
Classical,5.0,3.0,1.0,5.0,2.0,1.0,2.0,2.0
Classical,5.0,4.0,1.0,5.0,2.0,1.0,1.0,2.0
Classical,5.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0
Classical,4.0,3.0,3.0,2.0,4.0,1.0,3.0,3.0
Classical,5.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0
Classical,5.0,1.0,1.0,5.0,3.0,1.0,1.0,3.0
Classical,5.0,2.0,1.0,5.0,2.0,1.0,1.0,2.0
Classical,5.0,2.0,1.0,5.0,3.0,1.0,3.0,2.0
Classical,2.0,2.0,4.0,1.0,4.0,1.0,3.0,3.0
Classical,5.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0
Classical,5.0,2.0,2.0,5.0,3.0,1.0,3.0,1.0
Classical,5.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0
Classical,3.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0
Classical,5.0,3.0,1.0,5.0,3.0,1.0,2.0,2.0
Classical,5.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0
Classical,5.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0
Classical,5.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0
Classical,4.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0
Classical,5.0,3.0,2.0,3.0,4.0,1.0,3.0,1.0
Classical,5.0,3.0,1.0,5.0,1.0,1.0,1.0,3.0
Classical,5.0,2.0,1.0,5.0,3.0,1.0,1.0,3.0
Classical,5.0,3.0,2.0,3.0,4.0,1.0,4.0,1.0
Classical,5.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0
Classical,5.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0
Classical,3.0,3.0,3.0,4.0,4.0,1.0,3.0,3.0
Classical,5.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0
Classical,5.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0
Classical,5.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0
Classical,5.0,3.0,1.0,4.0,2.0,1.0,3.0,1.0
Classical,1.0,3.0,5.0,2.0,5.0,1.0,3.0,3.0
Classical,5.0,2.0,1.0,4.0,3.0,1.0,2.0,3.0
Classical,3.0,3.0,2.0,3.0,4.0,1.0,2.0,3.0
Classical,5.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0
Classical,5.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0
Classical,4.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0
Classical,4.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0
Classical,5.0,2.0,2.0,2.0,4.0,1.0,2.0,1.0
Comic Sketch,5.0,3.0,4.0,1.0,4.0,4.0,3.0,1.0
Comic Sketch,3.0,4.0,3.0,1.0,4.0,2.0,4.0,2.0
Comic Sketch,4.0,3.0,3.0,1.0,4.0,1.0,2.0,3.0
Comic Sketch,5.0,3.0,4.0,1.0,4.0,4.0,2.0,2.0
Comic Sketch,4.0,3.0,4.0,1.0,4.0,4.0,3.0,2.0
Comic Sketch,1.0,4.0,4.0,1.0,4.0,2.0,4.0,3.0
Comic Sketch,1.0,3.0,4.0,1.0,5.0,1.0,4.0,2.0
Comic Sketch,5.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0
Comic Sketch,2.0,3.0,4.0,1.0,4.0,3.0,3.0,3.0
Comic Sketch,5.0,3.0,4.0,1.0,4.0,5.0,3.0,2.0
Country,1.0,3.0,4.0,1.0,5.0,1.0,4.0,3.0
Country,3.0,3.0,3.0,1.0,4.0,1.0,3.0,3.0
Country,3.0,3.0,3.0,1.0,4.0,1.0,4.0,2.0
Country,2.0,3.0,3.0,1.0,4.0,1.0,3.0,3.0
Country,2.0,4.0,4.0,1.0,5.0,1.0,3.0,3.0
Country,2.0,4.0,3.0,1.0,4.0,1.0,3.0,3.0
Country,4.0,3.0,2.0,1.0,4.0,1.0,4.0,3.0
Country,3.0,4.0,3.0,1.0,4.0,1.0,4.0,2.0
Country,2.0,3.0,4.0,1.0,5.0,1.0,3.0,3.0
Country,2.0,3.0,4.0,1.0,4.0,1.0,3.0,3.0
Country,4.0,4.0,2.0,1.0,4.0,1.0,3.0,2.0
Country,4.0,4.0,3.0,1.0,4.0,1.0,5.0,1.0
Country,4.0,3.0,3.0,1.0,4.0,1.0,4.0,2.0
Country,1.0,4.0,4.0,1.0,5.0,1.0,3.0,3.0
Country,2.0,3.0,3.0,1.0,4.0,1.0,4.0,2.0
Country,3.0,4.0,3.0,1.0,4.0,1.0,3.0,2.0
